i,instrumented,naive,procavg,vmavg,proc0,proc1,proc2,proc3,proc4,vm0,vm1,vm2,vm3,vm4
1,72,75,11,16486.40,11,11,11,11,11,15808,16128,16512,17088,16896
2,72,75,12,16678.40,12,12,12,12,12,15744,16576,18048,15808,17216
3,72,75,11,17190.40,11,11,11,11,11,18304,15872,15872,19776,16128
4,72,75,11,17203.20,11,11,11,11,11,15360,17792,15808,17216,19840
5,72,75,11,22912.00,11,11,11,11,11,17920,16128,15680,16448,48384
6,72,75,11,21312.00,11,11,11,11,11,38016,16256,19648,16576,16064
7,72,75,11,21593.60,11,11,11,11,11,19328,36352,19776,16192,16320
8,72,75,11,17433.60,11,11,11,11,11,16192,21568,15680,17344,16384
9,72,75,49.4,16614.40,50,48,51,50,48,15616,17280,17472,15680,17024
10,72,75,18,16358.40,18,18,18,18,18,17728,15680,15936,15936,16512
11,72,75,11,16704.00,11,11,11,11,11,15936,16384,16384,19328,15488
12,72,75,11,16614.40,11,11,11,11,11,15936,15360,15872,16640,19264
13,72,75,11,17612.80,11,11,11,11,11,16192,18112,17664,15744,20352
14,72,75,11,16064.00,11,11,11,11,11,13888,16128,18048,16384,15872
15,72,75,11,21068.80,11,11,11,11,11,17408,16000,39552,16128,16256
16,72,75,11,16460.80,11,11,11,11,11,20160,14656,15616,15936,15936
17,72,75,11,18649.60,11,11,11,11,11,15936,23616,20224,16064,17408
18,72,75,12,16422.40,12,12,12,12,12,15936,17344,15424,17664,15744
