i,instrumented,naive,procavg,vmavg,proc0,proc1,proc2,proc3,proc4,vm0,vm1,vm2,vm3,vm4
0,3461,335472,492384.6,108458854.4,490503,498604,498610,490895,483311,107592000,107910528,109590592,109630784,107570368
1,3469,358096,962678,130654937.6,962798,962783,962578,962580,962651,129098752,131057280,128920000,131058432,133140224
2,3477,364566,580980.4,129757862.4,580875,581083,580486,580541,581917,128466368,130621760,128403200,130797120,130500864
3,3485,370998,497165.8,130530572.8,496721,497249,496738,496858,498263,130400640,130665088,128509824,130371840,132705472
4,3493,377430,419624.4,130099340.8,419553,419689,419121,419157,420602,130502912,130481728,128390080,130542336,130579648
5,3501,383862,461064.6,130596313.6,460949,461178,460567,460560,462069,130491840,130473408,130893376,130511104,130611840
6,3509,390294,797768.6,130288486.4,797454,797790,797361,797379,798859,130379904,130220608,130227328,130240192,130374400
7,3517,396726,1270650.2,130334745.6,1270354,1270849,1270207,1270122,1271719,130361024,130315968,130312704,130326208,130357824
8,3525,403158,918180.2,130444531.2,918178,918498,917583,917512,919130,130454912,130428160,130431744,130451264,130456576
9,3533,409599,637494.4,130377612.8,637510,637818,636877,636833,638434,130375424,130359872,130373824,130378048,130400896
10,3541,416031,767157.4,130352025.6,767120,767369,766600,766576,768122,130336640,130452352,130314560,130323904,130332672
11,3549,422463,1033912.2,130446400,1033724,1034042,1033428,1033391,1034976,130476544,130431424,130406336,130427200,130490496
12,3557,428895,865884.8,130626662.4,865740,866173,865540,865179,866792,130424640,130756480,130307584,130829568,130815040
13,3565,435327,882253.8,130523417.6,882089,882387,881962,881561,883270,130547712,130511872,130444032,130466112,130647360
14,3573,441759,718992.2,130492262.4,718874,719157,718650,718273,720007,130864064,130408256,130403904,130288000,130497088
15,3581,448191,681613,130456678.4,681512,681814,681124,680955,682660,130470848,130387456,130395264,130615360,130414464
16,3589,454623,732845.8,130472512,732571,732978,732420,732321,733939,130395648,130416384,130612992,130413248,130524288
17,3597,461055,931409.6,130934771.2,931324,931649,930881,930784,932410,130930304,130889216,130956928,130930368,130967040
18,3605,467487,697011,130896844.8,696903,697253,696557,696385,697957,130880640,130849920,131040960,130780160,130932544
19,3613,473919,771142.8,130817881.6,771019,771295,770718,770502,772180,130783552,130731328,130884224,130861568,130828736
20,3621,480351,770954,130599590.4,770923,771234,770357,770330,771926,130594432,130557888,130601280,130586624,130657728
21,3629,486783,807157,130893964.8,796834,797185,796408,847520,797838,130939136,130859840,130956736,130915712,130798400
22,3637,493215,648655.8,131039948.8,648262,648622,647949,649085,649361,130743744,130817024,132279616,130771648,130587712
23,3645,499647,511188.2,131027353.6,510758,511252,510427,511616,511888,131010176,130978432,130988864,130997184,131162112
24,3653,506079,707969.6,130793203.2,707568,708071,707250,708252,708707,131097728,130622720,130973312,130621760,130650496
25,3661,512511,953372.6,131022886.4,952986,953397,952661,953663,954156,131105728,131038272,131041920,131016960,130911552
26,3669,518943,1228873.6,131106688,1228591,1228996,1228107,1229082,1229592,131138432,131080256,130999168,131132160,131183424
27,3677,525375,1232108.8,131028544,1272907,1221967,1221027,1222068,1222575,131028544,131004224,131051968,131026752,131031232
28,3685,531807,1072266,131000755.2,1072889,1072091,1071258,1072299,1072793,131037568,131024576,130838528,131056128,131046976
29,3693,538239,1227814.4,130951974.4,1228590,1227718,1226719,1227836,1228209,131063552,130785408,131294016,130804864,130812032
30,3701,544671,1005768.8,130930547.2,1006366,1005756,1004712,1005726,1006284,130769344,131004736,130930240,131038144,130910272
31,3709,551106,722289.2,131084416,722673,722182,721324,722346,722921,131399488,131010304,130775168,130869440,131367680
32,3717,557538,1182280.4,131167257.6,1182773,1182233,1181241,1182282,1182873,131190080,131190272,131323328,131165376,130967232
33,3725,563970,1106128.4,130956006.4,1106792,1106051,1105041,1106079,1106679,130689856,131107072,130812160,130947200,131223744
