i,instrumented,naive,procavg,vmavg,proc0,proc1,proc2,proc3,proc4,vm0,vm1,vm2,vm3,vm4,is even
1,167,274,313.8,41996.8,317,311,312,312,317,49856,40448,39680,40000,40000,FALSE
3,223,248,309.6,21926.4,312,308,307,306,315,21760,21824,21376,23616,21056,FALSE
5,221,258,279.4,23769.6,281,277,278,277,284,21376,22336,26240,28480,20416,FALSE
7,223,248,332.2,22809.6,330,333,332,327,339,21440,23552,24000,21824,23232,FALSE
9,223,246,290.8,25088,290,288,290,289,297,26752,28096,26240,22272,22080,FALSE
11,223,248,306.4,26368,308,304,305,305,310,23040,22400,23168,37440,25792,FALSE
13,225,251,493,22899.2,494,492,492,490,497,23296,22656,23680,22400,22464,FALSE
15,227,247,371.8,29606.4,373,371,370,369,376,24640,23936,48192,27776,23488,FALSE
17,223,251,429.4,23321.6,430,429,428,427,433,23488,23616,25664,21888,21952,FALSE
19,221,251,369.6,24358.4,368,370,369,365,376,27328,26688,21760,23808,22208,FALSE
21,223,251,347.8,22208,345,349,348,344,353,21504,22848,21760,22656,22272,FALSE
23,223,251,326.2,24678.4,324,327,327,321,332,22976,28864,23936,24320,23296,FALSE
25,223,249,487.4,23833.6,489,486,486,487,489,21760,25792,23680,24128,23808,FALSE
27,223,249,325,29081.6,324,325,326,320,330,24000,24384,23488,22976,50560,FALSE
29,221,249,332.6,24691.2,333,331,332,331,336,23104,32192,23808,21760,22592,FALSE
31,227,247,302.4,28121.6,305,300,301,301,305,23744,35136,23616,35456,22656,FALSE
33,219,261,288.8,22937.6,292,286,287,287,292,22208,21696,22528,23232,25024,FALSE
35,221,251,240.4,24947.2,242,238,239,238,245,23360,23296,30400,22976,24704,FALSE
37,225,247,289,23756.8,290,287,288,288,292,22336,23104,26752,22144,24448,FALSE
39,227,249,3706.6,24281.6,3709,3705,3704,3706,3709,25984,23040,23552,24320,24512,FALSE
41,227,251,315,24985.6,317,314,313,314,317,28928,24384,24064,24704,22848,FALSE
43,223,253,363.6,23705.6,367,360,361,363,367,23808,22720,23232,22208,26560,FALSE
45,229,249,340.2,23411.2,338,341,340,335,347,22528,23104,24640,22976,23808,FALSE
47,225,249,270.2,30169.6,270,269,270,269,273,26240,24128,23808,27904,48768,FALSE
49,221,253,204.8,24908.8,208,202,203,203,208,25792,25280,24192,24384,24896,FALSE
51,227,249,335.4,25292.8,338,335,332,331,341,28544,27456,24704,22400,23360,FALSE
